member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Sep,Saturday,6,98,22.439965986394558,2292.5142431833046
casual,classic_bike,2022,Sep,Saturday,7,201,24.978026533996683,2628.79512153118
casual,classic_bike,2022,Sep,Saturday,8,423,28.38845547675335,2536.3611387180476
casual,classic_bike,2022,Sep,Saturday,9,782,24.34268968456948,2545.4069524857823
casual,classic_bike,2022,Sep,Saturday,10,1193,29.048938250908076,2619.5418345822522
casual,classic_bike,2022,Sep,Saturday,11,1554,28.684641784641784,2688.82387732654
casual,classic_bike,2022,Sep,Saturday,12,1838,27.49423286180631,2626.586999292829
casual,classic_bike,2022,Sep,Saturday,13,1896,28.912675808720113,2696.1211701933694
casual,classic_bike,2022,Sep,Saturday,14,1925,26.752718614718614,2622.411073154791
casual,classic_bike,2022,Sep,Saturday,15,1936,26.015521694214875,2597.7508918010567
casual,classic_bike,2022,Sep,Saturday,16,1896,25.136462728551336,2579.0721586145714
casual,classic_bike,2022,Sep,Saturday,17,1822,23.34436516648372,2428.61904636064
casual,classic_bike,2022,Sep,Saturday,18,1600,21.946729166666668,2269.4167375045913
casual,classic_bike,2022,Sep,Saturday,19,1154,18.24939341421144,2040.8246245880473
casual,classic_bike,2022,Sep,Saturday,20,787,21.209085133418043,2116.5410914796344
casual,classic_bike,2022,Sep,Saturday,21,760,20.985723684210527,2028.150727101041
casual,classic_bike,2022,Sep,Saturday,22,867,21.51860822760477,2022.8546006251017
casual,classic_bike,2022,Sep,Saturday,23,879,21.066287447857412,2265.504084315832
casual,classic_bike,2022,Sep,Sunday,0,709,21.7677950164551,1987.623017540756
casual,classic_bike,2022,Sep,Sunday,1,530,22.3274213836478,2134.947774734981
casual,classic_bike,2022,Sep,Sunday,2,320,19.216770833333335,2168.7781111526206
casual,classic_bike,2022,Sep,Sunday,3,160,28.035520833333333,1979.731278506391
